network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.020804749073099683,0.7227463017826375,0.4597350307212924,0.4741557848053064,0.0859258201969168,9,16,0.8260488387160563,False
net1_2,0.002326931471698253,0.9637454096731078,0.18247821120954372,0.17987229102610314,-0.018553872566415913,9,16,0.9637454096731078,False
net1_3,-0.03797159139718755,0.4451790290406291,0.2582629196495817,0.2165078323321534,-0.32442200515048436,9,16,0.8260488387160563,False
net1_4,-0.031543115204980945,0.3953722563851283,0.23827465626272504,0.20310546475966607,-0.34860321465736244,9,16,0.8260488387160563,False
net2_2,-0.013291703198202703,0.7434439548444507,0.3276499266213518,0.3102659919864205,-0.15473252173244345,9,16,0.8260488387160563,False
net2_3,-0.014571688526882043,0.7356715485978145,0.20082835812133631,0.18242795724430422,-0.16028227262826195,9,16,0.8260488387160563,False
net2_4,-0.014034419194254967,0.6064151610644233,0.20325600438442668,0.18572491678141423,-0.2092603419345539,9,16,0.8260488387160563,False
net3_3,-0.030751282038631703,0.4659277757141941,0.3554869465681804,0.32150635021070645,-0.31394490706134986,9,16,0.8260488387160563,False
net3_4,-0.042340524177924874,0.189629342416523,0.20471870548375815,0.1590112376133035,-0.5118710155853489,9,16,0.8260488387160563,False
net4_4,-0.051111153455382266,0.06904685005670574,0.30550386013527475,0.25018896740216284,-0.6183634618541969,9,16,0.6904685005670574,False
